checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
resnet1d_batchdiv_env3val_env4test.pth,A01,48,0.08485203236341476,0.021378617733716965,0.15279071033000946,0.001564892241731286
resnet1d_batchdiv_env3val_env4test.pth,A02,48,0.08605370670557022,0.022370927035808563,0.14291968941688538,0.0014064565766602755
resnet1d_batchdiv_env3val_env4test.pth,A03,47,0.13672134280204773,0.023611491546034813,0.1654719114303589,0.0027025958988815546
resnet1d_batchdiv_env3val_env4test.pth,A04,48,0.11086459457874298,0.01944958046078682,0.1583634912967682,0.004158805590122938
resnet1d_batchdiv_env3val_env4test.pth,A05,47,0.12161388248205185,0.022683773189783096,0.15532885491847992,0.0030826672445982695
resnet1d_batchdiv_env3val_env4test.pth,A06,18,0.07028178125619888,0.021913863718509674,0.13154274225234985,0.0030001674313098192
resnet1d_batchdivsched_env3val_env4test.pth,A01,48,0.08485203236341476,0.019050128757953644,0.15808440744876862,0.0019760634750127792
resnet1d_batchdivsched_env3val_env4test.pth,A02,48,0.08605370670557022,0.02032088302075863,0.15074685215950012,0.000944027560763061
resnet1d_batchdivsched_env3val_env4test.pth,A03,47,0.13672134280204773,0.02047126181423664,0.17379598319530487,0.002219988964498043
resnet1d_batchdivsched_env3val_env4test.pth,A04,48,0.11086459457874298,0.017888115718960762,0.16113580763339996,0.003525265259668231
resnet1d_batchdivsched_env3val_env4test.pth,A05,47,0.12161388248205185,0.020474277436733246,0.16006185114383698,0.0029496613424271345
resnet1d_batchdivsched_env3val_env4test.pth,A06,18,0.07028178125619888,0.02071234956383705,0.1333562582731247,0.0023019846994429827
resnet1d_interdiv_env3val_env4test.pth,A01,48,0.08485203236341476,0.017173169180750847,0.15768741071224213,0.0015502751339226961
resnet1d_interdiv_env3val_env4test.pth,A02,48,0.08605370670557022,0.0187115129083395,0.15114454925060272,0.0011861055390909314
resnet1d_interdiv_env3val_env4test.pth,A03,47,0.13672134280204773,0.018811851739883423,0.17397764325141907,0.001686758128926158
resnet1d_interdiv_env3val_env4test.pth,A04,48,0.11086459457874298,0.016307156533002853,0.16040553152561188,0.0035331519320607185
resnet1d_interdiv_env3val_env4test.pth,A05,47,0.12161388248205185,0.019085435196757317,0.16075752675533295,0.002655522897839546
resnet1d_interdiv_env3val_env4test.pth,A06,18,0.07028178125619888,0.018797051161527634,0.1333271861076355,0.0030013108626008034
resnet1d_interdiv_env3val_env4test_last.pth,A01,48,0.08485203236341476,0.13584095239639282,0.13882483541965485,0.021517092362046242
resnet1d_interdiv_env3val_env4test_last.pth,A02,48,0.08605370670557022,0.13586071133613586,0.131737619638443,0.008601801469922066
resnet1d_interdiv_env3val_env4test_last.pth,A03,47,0.13672134280204773,0.13929688930511475,0.15819568932056427,0.01846345141530037
resnet1d_interdiv_env3val_env4test_last.pth,A04,48,0.11086459457874298,0.13069620728492737,0.15577298402786255,0.00688108941540122
resnet1d_interdiv_env3val_env4test_last.pth,A05,47,0.12161388248205185,0.13868850469589233,0.15117451548576355,0.03612677752971649
resnet1d_interdiv_env3val_env4test_last.pth,A06,18,0.07028178125619888,0.13918323814868927,0.10904650390148163,0.02752034179866314
